id,lat,lng
1PO_PO1 GPS coordinates,38.615066666666664,20.918366666666667
1PO_PO2 GPS coordinates,38.61483333333334,20.918383333333335
1PO_PO3 GPS coordinates,38.61485,20.9185
1PO_PO4 GPS coordinates,38.61476666666667,20.9185
1PO_PO5 GPS coordinates,38.61476666666667,20.9184
2PO_PO1 GPS coordinates,38.62906666666667,20.937983333333335
2PO_PO2 GPS coordinates,38.62885,20.93835
2PO_PO3 GPS coordinates,38.62885,20.938416666666665
2PO_PO4 GPS coordinates,38.62878333333333,20.938416666666665
2PO_PO5 GPS coordinates,38.62878333333333,20.93835
3PO_PO1 GPS coordinates,38.61511111111111,20.918833333333332
3PO_PO2 GPS coordinates,38.615,20.918833333333332
3PO_PO3 GPS coordinates,38.615,20.91888888888889
3PO_PO4 GPS coordinates,38.61494444444445,20.91888888888889
3PO_PO5 GPS coordinates,38.61494444444445,20.918833333333332
4PO_PO1 GPS coordinates,38.630472222222224,20.940472222222223
4PO_PO2 GPS coordinates,38.630361111111114,20.940583333333333
4PO_PO3 GPS coordinates,38.630361111111114,20.940638888888888
4PO_PO4 GPS coordinates,38.63030555555556,20.940638888888888
4PO_PO5 GPS coordinates,38.63030555555556,20.940583333333333
5PO_PO1 GPS coordinates,38.61508333333333,20.918027777777777
5PO_PO2 GPS coordinates,38.61494444444445,20.918055555555554
5PO_PO3 GPS coordinates,38.61494444444445,20.91813888888889
5PO_PO4 GPS coordinates,38.61488888888889,20.91813888888889
5PO_PO5 GPS coordinates,38.61488888888889,20.918055555555554
6PO_PO1 GPS coordinates,38.61516666666667,20.920222222222222
6PO_PO2 GPS coordinates,38.61494444444445,20.920222222222222
6PO_PO3 GPS coordinates,38.61494444444445,20.920305555555554
6PO_PO4 GPS coordinates,38.61488888888889,20.920305555555554
6PO_PO5 GPS coordinates,38.61488888888889,20.920222222222222
7PO_PO1 GPS coordinates,38.616122222222224,20.927880555555557
7PO_PO2 GPS coordinates,38.61606666666667,20.92811111111111
7PO_PO3 GPS coordinates,38.616055555555555,20.928175
7PO_PO4 GPS coordinates,38.61593888888889,20.928202777777777
7PO_PO5 GPS coordinates,38.61611944444444,20.92813611111111
8PO_PO1 GPS coordinates,38.65249166666667,20.955816666666667
8PO_PO2 GPS coordinates,38.652544444444445,20.95591111111111
8PO_PO3 GPS coordinates,38.652572222222226,20.955969444444445
8PO_PO4 GPS coordinates,38.65260833333333,20.955927777777777
8PO_PO5 GPS coordinates,38.65258611111111,20.955866666666665
9PO_PO1 GPS coordinates,38.65261666666667,20.955683333333333
9PO_PO2 GPS coordinates,38.65266666666667,20.955866666666665
9PO_PO3 GPS coordinates,38.65271666666666,20.955833333333334
9PO_PO4 GPS coordinates,38.65273333333333,20.962566666666667
9PO_PO5 GPS coordinates,38.652683333333336,20.955933333333334
10PO_PO1 GPS coordinates,38.64791666666667,20.93036111111111
10PO_PO2 GPS coordinates,38.64802777777778,20.93036111111111
10PO_PO3 GPS coordinates,38.64802777777778,20.930416666666666
10PO_PO4 GPS coordinates,38.64797222222222,20.930416666666666
10PO_PO5 GPS coordinates,38.64797222222222,20.93036111111111
11PO_PO1 GPS coordinates,38.64783333333333,20.930555555555557
11PO_PO2 GPS coordinates,38.64791666666667,20.930583333333335
11PO_PO3 GPS coordinates,38.64791666666667,20.93063888888889
11PO_PO4 GPS coordinates,38.64786111111111,20.93063888888889
11PO_PO5 GPS coordinates,38.64786111111111,20.930583333333335
12PO_PO1 GPS coordinates,38.59843333333333,20.883916666666668
12PO_PO2 GPS coordinates,38.598416666666665,20.88425
12PO_PO3 GPS coordinates,38.598416666666665,20.884183333333333
12PO_PO4 GPS coordinates,38.598366666666664,20.884216666666667
12PO_PO5 GPS coordinates,38.598366666666664,20.884166666666665
13PO_PO1 GPS coordinates,38.596383333333335,20.886466666666667
13PO_PO2 GPS coordinates,38.59636666666667,20.8865
13PO_PO3 GPS coordinates,38.59636666666667,20.886616666666665
13PO_PO4 GPS coordinates,38.59645,20.8865
13PO_PO5 GPS coordinates,38.59645,20.886616666666665
